Customer_ID,Age,Annual_Income,Monthly_Spend,Purchase_Freq,Tenure_Years,Gender,Region,Category_Pref
C1215,31,55913,36.92,6.7,2.6,Female,East,Fashion
C1216,40,63429,49.49,2.3,3.0,Male,East,Home
C1217,39,65813,83.28,9.5,4.9,Male,South,Home
C1218,31,28904,9.74,1.6,1.1,Male,South,Home
C1219,40,97988,63.94,8.6,5.7,Female,West,Home
C1220,30,46903,42.07,5.3,2.6,Male,West,Grocery
C1221,24,31886,22.77,2.3,1.4,Male,North,Electronics
C1222,36,75586,64.7,6.7,1.7,Female,North,Grocery
C1223,25,28805,36.6,2.3,0.6,Female,East,Home
C1224,54,94518,58.47,11.4,9.4,Female,South,Grocery
C1225,50,74604,78.79,8.4,5.6,Male,North,Home
C1226,37,53152,64.13,8.4,2.9,Female,East,Sports
C1227,36,77891,26.69,11.5,4.3,Male,South,Electronics
C1228,34,44763,42.56,5.7,3.6,Male,West,Sports
C1229,52,85318,65.16,8.5,6.0,Male,East,Fashion
C1230,52,77221,65.42,9.5,5.9,Male,West,Grocery
C1231,58,92033,69.84,15.6,7.0,Male,North,Fashion
C1232,46,83396,111.09,10.1,12.0,Female,North,Grocery
C1233,37,48133,36.54,9.2,0.4,Male,South,Sports
C1234,57,92105,85.56,6.7,6.2,Female,East,Home
C1235,37,55851,74.28,6.0,2.0,Female,West,Home
C1236,39,83204,71.9,10.1,2.2,Male,South,Grocery
C1237,18,28077,8.29,2.5,0.7,Female,North,Home
C1238,37,50001,38.02,6.1,5.0,Male,North,Sports
C1239,40,92945,61.86,11.8,7.2,Female,East,Home
C1240,25,31399,26.96,3.9,1.0,Male,West,Sports
C1241,40,95102,51.73,8.2,6.9,Male,East,Fashion
C1242,35,69499,59.83,7.1,2.9,Male,West,Sports
C1243,49,69771,62.84,11.8,4.4,Female,West,Electronics
C1244,48,81099,96.79,13.5,9.7,Female,East,Electronics
C1245,27,25719,18.43,3.1,1.7,Male,South,Electronics
C1246,72,107883,89.69,6.1,10.1,Female,East,Grocery
C1247,57,97500,70.07,14.4,8.0,Female,East,Grocery
C1248,42,69018,43.82,9.0,3.2,Female,North,Grocery
C1249,24,39547,27.4,2.4,0.9,Female,North,Sports
C1250,33,56202,48.35,6.4,2.9,Female,East,Grocery
C1251,24,31692,17.21,3.2,1.0,Female,East,Fashion
C1252,18,35718,26.8,2.2,0.8,Female,North,Electronics
C1253,48,79591,72.62,7.5,4.6,Male,West,Sports
C1254,45,64958,61.8,10.9,2.7,Male,East,Electronics
C1255,42,81206,60.36,7.6,5.7,Male,South,Grocery
C1256,60,93856,68.42,6.6,10.0,Female,South,Sports
C1257,46,63772,71.55,7.9,5.7,Female,South,Home
C1258,25,41318,48.72,5.5,2.4,Male,East,Fashion
C1259,51,79981,84.33,9.3,7.9,Female,West,Grocery
C1260,62,89572,77.82,15.4,7.5,Male,West,Grocery
C1261,69,89645,65.87,11.9,8.6,Male,North,Fashion
C1262,41,72524,70.9,8.9,3.3,Female,East,Fashion
C1263,45,94210,75.02,17.9,7.3,Male,West,Home
C1264,28,25680,25.08,4.0,0.6,Male,East,Grocery
C1265,22,33776,21.58,2.9,0.9,Female,North,Grocery
C1266,27,31272,22.09,2.2,0.8,Female,North,Electronics
C1267,43,54720,43.67,10.3,1.2,Male,North,Sports
C1268,31,63732,55.24,7.1,3.5,Female,South,Sports
C1269,41,77715,64.91,8.7,5.1,Female,East,Electronics
C1270,40,86883,92.39,7.4,5.4,Male,North,Sports
C1271,20,28369,6.08,3.9,0.9,Male,East,Fashion
C1272,33,54698,41.46,4.9,2.5,Female,South,Sports
C1273,57,104429,93.0,9.1,6.8,Male,South,Sports
C1274,33,64194,47.03,5.5,3.7,Female,North,Electronics
C1275,28,27611,19.7,1.0,1.2,Female,North,Home
C1276,58,88975,85.09,7.5,7.3,Female,West,Sports
C1277,40,84382,54.98,12.8,6.6,Male,East,Sports
C1278,50,68626,73.12,6.6,6.0,Female,North,Home
C1279,23,37207,19.69,2.5,1.1,Male,West,Electronics
C1280,39,64274,28.99,5.1,3.5,Male,East,Home
C1281,37,56688,30.07,8.2,1.7,Male,North,Electronics
C1282,58,97329,89.14,10.6,5.3,Male,West,Fashion
C1283,37,43746,26.33,8.0,3.9,Female,West,Electronics
C1284,50,97629,90.01,18.7,11.1,Male,East,Fashion
C1285,57,71371,72.3,7.7,7.5,Male,West,Fashion
C1286,51,90795,50.91,6.8,3.4,Female,East,Electronics
C1287,56,71407,88.42,9.8,3.6,Male,East,Grocery
C1288,27,65763,31.28,4.7,2.7,Female,East,Electronics
C1289,29,56584,56.78,4.0,4.3,Male,South,Sports
C1290,42,71122,62.62,5.7,7.3,Female,West,Sports
C1291,32,76059,30.48,8.7,3.4,Female,East,Grocery
C1292,48,75297,69.83,9.0,2.7,Male,North,Fashion
C1293,58,97239,84.83,10.1,8.7,Male,South,Grocery
C1294,19,27449,19.35,2.0,1.0,Male,South,Sports
C1295,32,26131,24.9,3.1,0.5,Female,West,Grocery
C1296,68,102294,81.03,9.6,9.1,Male,East,Electronics
C1297,28,27895,17.04,2.7,1.1,Male,West,Grocery
C1298,35,67236,50.06,4.3,3.0,Male,South,Fashion
C1299,40,81329,67.75,9.5,5.6,Male,East,Electronics
C1300,26,31972,24.35,4.5,1.1,Female,North,Home
C1301,25,27115,28.38,1.0,0.1,Female,East,Sports
C1302,41,72860,67.56,8.6,4.0,Male,South,Sports
C1303,30,45967,61.7,6.0,2.6,Male,North,Grocery
C1304,27,23007,20.48,2.2,0.6,Female,East,Electronics
C1305,42,81487,67.77,8.3,2.8,Female,North,Home
C1306,62,91306,103.91,17.2,9.6,Male,North,Electronics
C1307,42,70056,52.66,7.8,3.0,Male,South,Sports
C1308,46,57462,30.75,7.0,2.6,Male,North,Electronics
C1309,19,33756,23.39,4.9,0.4,Female,West,Home
C1310,56,77623,95.49,10.6,8.0,Male,South,Grocery
C1311,26,27923,17.21,4.1,1.3,Female,West,Fashion
C1312,34,52258,46.25,5.2,2.7,Female,North,Electronics
C1313,26,31855,31.81,3.8,0.8,Female,West,Fashion
C1314,62,82158,68.28,10.9,8.5,Male,East,Sports
C1315,26,30646,22.92,6.2,0.7,Male,North,Grocery
C1316,35,54544,70.74,5.1,2.8,Male,East,Grocery
C1317,42,77076,102.39,9.2,6.5,Male,West,Electronics
C1318,33,45222,33.12,3.6,0.8,Female,East,Grocery
C1319,48,117159,87.19,13.9,7.0,Female,North,Electronics
C1320,40,43732,51.52,8.2,1.7,Female,East,Electronics
C1321,50,100481,86.86,20.0,8.5,Female,West,Fashion
C1322,24,32716,15.41,3.6,1.1,Male,West,Grocery
C1323,42,41761,56.57,5.2,2.4,Male,West,Electronics
C1324,26,60946,49.97,7.2,2.8,Male,North,Fashion
C1325,28,59927,48.84,3.3,1.6,Female,West,Home
C1326,39,100269,75.17,10.9,3.6,Female,North,Fashion
C1327,38,52818,45.19,6.9,4.5,Female,East,Fashion
C1328,36,47173,28.56,5.3,3.8,Male,West,Electronics
C1329,21,27561,19.8,3.9,0.8,Male,East,Sports
C1330,23,25478,11.82,1.9,0.8,Female,South,Sports
C1331,38,60773,47.16,6.8,2.8,Male,East,Sports
C1332,39,44680,52.17,10.1,1.8,Female,South,Fashion
C1333,53,82077,81.37,9.1,5.5,Female,East,Electronics
C1334,53,90279,89.66,11.0,8.4,Female,North,Grocery
C1335,57,103955,107.02,8.6,9.7,Male,East,Fashion
C1336,35,62392,47.69,7.0,2.4,Male,North,Fashion
C1337,35,58266,43.94,6.0,1.0,Male,North,Electronics
C1338,43,117573,94.68,13.5,6.0,Male,West,Home
C1339,59,103508,64.69,13.9,5.5,Male,North,Fashion
C1340,22,31241,23.44,3.7,0.4,Female,South,Home
C1341,41,85441,55.91,7.8,4.9,Female,West,Home
C1342,45,69827,65.85,8.7,5.7,Male,West,Sports
C1343,50,105528,48.31,13.5,7.9,Male,East,Electronics
C1344,28,31119,28.41,4.1,0.9,Male,North,Home
C1345,24,31634,20.61,3.3,1.0,Male,North,Electronics
C1346,31,55473,57.12,5.4,2.4,Female,South,Sports
C1347,43,66053,72.12,10.8,6.3,Male,East,Electronics
C1348,44,66676,56.81,11.8,4.4,Male,East,Fashion
C1349,35,42974,46.51,6.9,3.2,Male,West,Home
C1350,58,110949,57.96,12.9,9.5,Female,West,Electronics
C1351,24,30546,39.23,3.3,0.9,Female,West,Grocery
C1352,22,31298,24.91,2.5,1.1,Male,South,Electronics
C1353,37,44756,36.58,7.3,4.5,Female,South,Home
C1354,45,47193,21.08,4.7,1.5,Female,West,Sports
C1355,28,47614,48.97,1.0,2.9,Female,East,Sports
C1356,22,26183,33.82,2.6,0.1,Male,South,Home
C1357,30,64968,54.11,5.5,4.0,Female,East,Fashion
C1358,53,61206,44.42,8.4,5.2,Female,East,Fashion
C1359,24,40377,5.0,2.3,0.9,Female,North,Sports
C1360,31,40273,40.45,5.8,3.1,Female,West,Sports
C1361,36,46351,37.78,7.7,5.0,Female,North,Home
C1362,48,87557,81.29,5.8,5.8,Male,West,Fashion
C1363,23,34348,36.71,2.4,0.6,Female,West,Sports
C1364,45,78344,51.0,11.3,2.4,Female,East,Fashion
C1365,56,112281,90.59,12.3,9.8,Female,West,Sports
C1366,31,27038,27.16,3.7,1.0,Male,East,Electronics
C1367,44,70655,73.05,5.4,8.0,Female,East,Grocery
C1368,50,67690,40.8,10.6,5.8,Female,West,Electronics
C1369,38,70544,65.97,9.3,5.0,Male,East,Sports
C1370,32,49984,36.17,6.2,2.5,Female,East,Grocery
C1371,26,30092,19.62,3.8,1.5,Female,East,Grocery
C1372,20,32504,14.79,4.5,0.9,Female,South,Sports
C1373,48,61646,62.71,8.8,4.0,Male,East,Sports
C1374,75,75993,64.03,9.7,5.3,Male,South,Fashion
C1375,32,53993,35.95,8.6,4.1,Female,South,Sports
C1376,57,93923,69.55,13.7,9.7,Male,East,Home
C1377,49,100372,92.12,12.7,8.9,Female,East,Sports
C1378,44,85654,62.2,7.0,3.3,Female,South,Home
C1379,28,59141,37.21,4.1,4.6,Female,South,Sports
C1380,29,28984,7.39,3.3,1.0,Male,East,Fashion
C1381,28,42546,45.59,6.8,2.0,Female,East,Home
C1382,57,105469,101.12,10.8,10.8,Male,West,Electronics
C1383,22,32394,25.82,3.4,1.3,Male,South,Home
C1384,40,81818,76.13,8.9,5.0,Male,South,Fashion
C1385,58,110341,92.94,13.1,7.5,Male,West,Home
C1386,46,97925,88.84,15.3,7.1,Female,South,Sports
C1387,44,86890,76.39,10.8,3.0,Female,North,Sports
C1388,55,86692,67.05,8.8,4.0,Male,South,Fashion
C1389,48,72182,74.0,9.0,6.3,Female,West,Grocery
C1390,35,59744,25.88,6.3,3.2,Male,North,Sports
C1391,21,30496,17.44,2.0,1.3,Female,East,Electronics
C1392,70,82681,99.31,14.2,10.3,Female,West,Fashion
C1393,36,43739,35.95,9.2,2.2,Female,West,Home
C1394,54,101837,103.22,15.2,9.0,Male,East,Home
C1395,44,90475,66.79,10.6,2.7,Female,West,Electronics
C1396,31,38382,23.82,1.7,1.6,Male,South,Sports
C1397,36,64012,19.16,6.7,4.7,Female,East,Fashion
C1398,41,69691,57.68,12.2,3.6,Male,West,Electronics
C1399,44,87065,83.01,10.1,5.3,Female,East,Sports
C1400,68,82980,107.76,13.1,5.5,Female,East,Fashion
C1401,28,33424,31.84,5.6,1.4,Female,East,Home
C1402,30,47083,48.63,5.1,1.8,Male,North,Fashion
C1403,56,96595,73.43,8.8,7.5,Female,West,Grocery
C1404,23,32885,25.22,2.0,1.0,Male,North,Fashion
C1405,49,88337,85.53,8.3,9.1,Female,West,Grocery
C1406,39,52960,61.61,4.0,2.2,Male,South,Fashion
C1407,30,59848,45.49,5.5,3.5,Male,South,Grocery
C1408,23,31352,30.54,1.9,0.2,Female,South,Home
C1409,26,30240,20.96,4.5,1.6,Male,West,Sports
C1410,53,113040,54.47,14.2,7.2,Male,East,Grocery
C1411,36,50818,46.5,6.7,4.8,Male,East,Grocery
C1412,38,50625,72.49,5.8,3.2,Male,North,Home
C1413,24,42228,21.2,2.8,1.4,Female,North,Grocery
C1414,33,55586,30.27,6.8,4.5,Female,South,Electronics
C1415,30,58771,59.24,3.1,3.8,Male,North,Home
C1416,52,98348,96.7,10.4,8.5,Male,West,Electronics
C1417,45,63233,35.36,7.6,1.8,Male,West,Home
C1418,45,50910,31.24,8.2,3.5,Male,North,Grocery
C1419,37,38344,28.17,5.7,2.7,Female,North,Electronics
C1420,60,76693,70.48,13.1,8.6,Female,North,Grocery
C1421,46,74298,48.45,9.6,4.1,Male,North,Home
C1422,33,49194,30.31,6.5,3.1,Male,South,Grocery
C1423,61,112325,126.83,10.0,6.6,Male,South,Electronics
C1424,23,31668,20.42,3.9,0.4,Female,North,Electronics
C1425,26,25112,16.13,3.6,0.1,Female,West,Grocery
C1426,25,23776,11.57,4.6,1.3,Male,South,Fashion
C1427,37,51584,50.44,8.1,3.6,Male,West,Home
C1428,21,30909,23.06,3.4,0.7,Female,East,Home
C1429,21,36778,18.88,2.2,1.6,Female,West,Grocery
C1430,32,56494,45.41,8.0,2.1,Male,North,Fashion
C1431,46,99424,61.16,14.1,6.6,Male,East,Electronics
C1432,19,17641,18.62,2.4,0.6,Male,South,Sports
C1433,50,78681,54.41,7.3,5.4,Female,South,Sports
C1434,24,29722,21.74,1.4,0.9,Male,East,Grocery
C1435,47,67017,90.68,8.6,4.2,Male,West,Fashion
C1436,22,26015,27.07,3.5,1.6,Female,South,Fashion
C1437,38,53845,41.1,8.3,3.6,Male,North,Home
C1438,36,52313,41.43,6.0,3.2,Female,East,Electronics
C1439,54,94452,102.29,15.4,6.4,Male,North,Fashion
C1440,39,49297,57.27,8.6,4.6,Male,East,Sports
C1441,31,68323,51.83,7.9,2.6,Female,South,Electronics
C1442,57,80597,53.21,9.2,4.3,Male,West,Electronics
C1443,38,58193,55.74,7.7,2.5,Female,East,Grocery
C1444,32,70105,97.36,6.5,5.5,Female,East,Fashion
C1445,49,89469,85.85,12.2,5.3,Male,North,Grocery
C1446,66,113929,118.97,13.5,6.2,Female,South,Fashion
C1447,28,18944,16.05,3.0,0.8,Male,North,Home
C1448,28,27703,28.24,3.2,0.7,Female,South,Grocery
C1449,67,76721,44.61,9.2,9.0,Male,North,Grocery
C1450,30,50394,51.7,9.3,3.4,Female,East,Sports
C1451,20,33628,19.54,2.2,0.5,Male,North,Grocery
C1452,62,109340,61.19,18.2,4.9,Male,West,Fashion
C1453,36,60569,34.84,11.2,1.4,Female,South,Sports
C1454,19,35031,21.8,1.8,1.0,Female,South,Grocery
C1455,28,26740,16.13,2.5,1.5,Male,East,Grocery
