Customer_ID,Age,Annual_Income,Monthly_Spend,Purchase_Freq,Tenure_Years,Gender,Region,Category_Pref,Cluster,Segment,PCA1,PCA2
C1138,32,52091,34.98,7.4,5.1,Male,North,Sports,2,Occasional Buyers,-0.5868642921585457,0.22482755326620876
C1139,47,80072,54.83,9.0,3.6,Female,South,Grocery,3,Regular Customers,0.7484168409270926,0.3516363479988015
C1140,58,95344,101.34,15.5,6.9,Male,West,Electronics,0,Premium Loyalists,3.4858401881596306,0.5165167523940083
C1141,45,74255,67.88,8.1,6.0,Male,North,Home,3,Regular Customers,1.068927477429061,-0.3444730179136432
C1142,33,33792,52.14,7.7,2.8,Male,South,Sports,2,Occasional Buyers,-0.9350663976501422,0.2617135181903675
C1143,29,24959,29.29,3.5,0.9,Male,West,Sports,1,Budget Shoppers,-2.4150393617488435,0.004119415489775503
C1144,40,68622,44.5,10.9,6.0,Male,West,Electronics,3,Regular Customers,0.71372770201758,0.6923732258490367
C1145,50,116572,117.11,11.9,7.4,Female,East,Fashion,0,Premium Loyalists,3.526456209336585,-0.6953130387036007
C1146,41,58946,65.07,5.7,3.9,Male,West,Electronics,2,Occasional Buyers,-0.01805354857147678,-0.5586385205970478
C1147,27,58554,33.38,5.5,3.6,Female,South,Electronics,2,Occasional Buyers,-1.1306930887749733,-0.02680334356916621
C1148,65,113786,76.02,15.3,10.2,Male,North,Sports,0,Premium Loyalists,4.155935823162622,0.581350969144055
C1149,49,68872,82.95,11.6,4.1,Male,East,Home,3,Regular Customers,1.4652692497881594,0.35740325348795393
C1150,25,27778,27.33,3.0,0.2,Male,West,Electronics,1,Budget Shoppers,-2.707918548260333,-0.013958748104568243
C1151,31,56566,38.31,5.6,2.3,Female,West,Fashion,2,Occasional Buyers,-1.137974027980062,0.06426286674307262
C1152,34,24372,23.97,2.9,0.5,Male,West,Grocery,1,Budget Shoppers,-2.4702731611618987,0.04259809967266295
C1153,53,76467,50.43,12.2,3.5,Female,South,Electronics,3,Regular Customers,1.173875758410753,1.1673991990452448
C1154,40,74505,67.41,8.7,6.0,Male,East,Electronics,3,Regular Customers,0.9562795816341864,-0.2288226636635358
C1155,48,103500,108.93,13.4,9.7,Female,South,Fashion,0,Premium Loyalists,3.614291785333359,-0.4450101236611607
C1156,44,83339,37.46,8.4,6.2,Male,East,Home,3,Regular Customers,0.7554938827094336,0.24932647788110307
C1157,37,54806,72.03,8.6,2.7,Female,North,Electronics,2,Occasional Buyers,0.02180120186075763,0.05495862341373487
C1158,35,44991,51.63,4.6,3.0,Female,South,Electronics,2,Occasional Buyers,-0.9890597930026093,-0.43418137151705843
C1159,52,108407,48.31,16.1,11.0,Female,South,Home,0,Premium Loyalists,3.3443650130368145,1.1491582910213347
C1160,48,77029,64.77,8.7,3.5,Male,North,Fashion,3,Regular Customers,0.8446755022526508,0.12108270602496099
C1161,31,50681,56.57,6.7,1.1,Male,East,Electronics,2,Occasional Buyers,-1.0044688094806742,0.09838375292856369
C1162,43,69690,61.63,9.9,4.4,Male,West,Home,3,Regular Customers,0.7587786124552653,0.33671661492410926
C1163,26,52923,43.2,5.8,3.2,Female,North,Electronics,2,Occasional Buyers,-1.134827268917417,-0.09605392723173296
C1164,23,35187,25.86,1.0,1.5,Female,West,Grocery,1,Budget Shoppers,-2.6888777263603787,-0.5830222308498356
C1165,68,70499,126.05,14.3,6.6,Female,West,Sports,0,Premium Loyalists,3.611404607391009,-0.07470302807532615
C1166,45,73230,62.41,6.8,4.8,Male,North,Grocery,3,Regular Customers,0.6160600384883381,-0.38695298766149555
C1167,57,99112,93.56,5.6,6.8,Male,East,Electronics,0,Premium Loyalists,2.2327644395148365,-1.463639286545007
C1168,43,65016,60.46,9.2,5.1,Male,West,Fashion,3,Regular Customers,0.6833619007201993,0.14386471000721104
C1169,25,30357,19.43,1.9,1.2,Female,North,Sports,1,Budget Shoppers,-2.7600959679890433,-0.21500148405306466
C1170,22,33192,17.94,3.1,1.4,Female,South,Grocery,1,Budget Shoppers,-2.6694132606943985,0.029458783562547632
C1171,24,32649,28.63,4.7,0.7,Female,South,Home,1,Budget Shoppers,-2.355372737686908,0.25600286007982703
C1172,31,48956,35.76,7.0,1.7,Male,South,Fashion,2,Occasional Buyers,-1.25718975254051,0.49667454924274757
C1173,36,99553,79.01,7.3,3.7,Female,North,Grocery,3,Regular Customers,0.9462409835027905,-0.5771387754056265
C1174,20,21862,20.3,4.9,1.9,Female,South,Home,1,Budget Shoppers,-2.6244929698846837,0.3354565593816372
C1175,30,60687,51.6,6.6,2.6,Male,West,Electronics,2,Occasional Buyers,-0.7096822363013049,-0.020052157094903312
C1176,35,62861,38.36,3.9,2.0,Female,South,Home,2,Occasional Buyers,-1.1210121113761218,-0.2670197675995035
C1177,40,90505,55.8,6.7,5.8,Female,South,Grocery,3,Regular Customers,0.7956866989571315,-0.45462964049317534
C1178,18,34147,27.97,3.5,0.7,Female,West,Grocery,1,Budget Shoppers,-2.691022178003108,-0.018455654719203293
C1179,39,81218,83.2,7.5,3.4,Female,South,Electronics,3,Regular Customers,0.7580779556301832,-0.5241364349656297
C1180,37,81105,79.35,10.5,3.5,Male,West,Home,3,Regular Customers,0.9811392823889706,0.17377403976091618
C1181,39,55208,32.82,8.3,1.4,Male,South,Home,2,Occasional Buyers,-0.8031705707577119,0.8834425174216697
C1182,25,31178,7.55,1.4,1.3,Female,West,Electronics,1,Budget Shoppers,-2.9868573904380677,-0.10973367997217419
C1183,29,54231,33.95,2.8,1.9,Male,South,Home,2,Occasional Buyers,-1.7127693687861776,-0.4136202836813002
C1184,44,55111,36.74,6.3,2.6,Female,West,Electronics,2,Occasional Buyers,-0.5989240072718743,0.27107697002203535
C1185,32,56366,42.78,4.1,2.4,Female,North,Fashion,2,Occasional Buyers,-1.1873648375262378,-0.348662100361137
C1186,28,27940,14.63,3.4,0.6,Female,West,Grocery,1,Budget Shoppers,-2.702082608189811,0.2819649961861613
C1187,62,99526,60.14,11.1,7.9,Female,South,Fashion,0,Premium Loyalists,2.664377623080038,0.2522851029587842
C1188,39,48777,41.63,5.4,5.1,Male,South,Sports,2,Occasional Buyers,-0.5167976397740737,-0.29268408092705045
C1189,43,50107,47.81,6.4,2.8,Male,East,Sports,2,Occasional Buyers,-0.4974463616756509,0.06849634430466633
C1190,69,82745,75.52,12.8,7.7,Male,West,Sports,0,Premium Loyalists,3.0254270495635365,0.417532184085866
C1191,42,76664,79.24,9.3,1.8,Male,North,Electronics,3,Regular Customers,0.6652412225408093,0.13504322062051705
C1192,46,81815,60.65,7.4,7.1,Male,West,Home,3,Regular Customers,1.2184450421627668,-0.490909811287402
C1193,24,26746,25.59,2.8,0.1,Male,West,Fashion,1,Budget Shoppers,-2.8311809299383754,-0.014825452879062057
C1194,25,22607,32.01,2.3,0.9,Female,North,Fashion,1,Budget Shoppers,-2.6938840348876987,-0.31662807053383335
C1195,40,54737,28.33,1.8,3.5,Female,West,Fashion,2,Occasional Buyers,-1.2649837982998289,-0.6493996782146338
C1196,50,69823,54.96,7.9,4.5,Male,North,Fashion,3,Regular Customers,0.6842192434419175,0.05281927685314896
C1197,35,55147,45.53,4.9,4.4,Male,North,Sports,2,Occasional Buyers,-0.644765844729174,-0.43050859781445905
C1198,37,67745,64.6,9.7,3.0,Female,West,Fashion,3,Regular Customers,0.31174937971218464,0.36838572493588334
C1199,40,54226,36.69,5.8,3.6,Male,West,Home,2,Occasional Buyers,-0.6567669931823987,0.04102938088118305
C1200,45,84725,60.25,9.4,5.1,Male,South,Sports,3,Regular Customers,1.140821917371221,0.15195591229627428
C1201,20,34355,29.19,1.0,1.2,Male,South,Fashion,1,Budget Shoppers,-2.803204034106786,-0.6245136046915559
C1202,60,79636,91.93,12.9,11.5,Female,East,Electronics,0,Premium Loyalists,3.542061293056805,-0.31629253841643074
C1203,26,34630,31.19,3.8,0.7,Male,East,Grocery,1,Budget Shoppers,-2.307604955558609,0.018037155184204904
C1204,33,85807,45.03,6.1,5.7,Female,West,Grocery,3,Regular Customers,0.19165607450373914,-0.386955467749677
C1205,61,120959,75.49,12.4,5.7,Male,North,Grocery,0,Premium Loyalists,3.0844048015877497,0.4231528235954083
C1206,30,50410,15.01,8.6,1.9,Female,East,Sports,2,Occasional Buyers,-1.3996691298827235,1.2044065450639594
C1207,31,56478,50.03,7.9,2.6,Male,West,Fashion,2,Occasional Buyers,-0.6290340710648369,0.3032413511575092
C1208,46,68768,47.45,7.7,6.6,Male,East,Sports,3,Regular Customers,0.7077185334726785,-0.09032104755968638
C1209,19,33784,27.98,2.8,1.2,Female,North,Home,1,Budget Shoppers,-2.6626191498782754,-0.2180554609889133
C1210,56,102690,101.75,9.4,7.4,Female,West,Electronics,0,Premium Loyalists,2.935350712118694,-0.8813564496063335
C1211,22,28242,22.77,2.5,1.5,Female,North,Electronics,1,Budget Shoppers,-2.733116202687308,-0.1899555952280241
C1212,29,32405,21.61,2.6,0.1,Female,West,Grocery,1,Budget Shoppers,-2.637634321733977,0.025624011984833668
C1213,40,67322,87.36,9.6,4.5,Female,East,Grocery,3,Regular Customers,1.0231716368461596,-0.23400185090447864
C1214,49,75283,69.01,11.2,6.0,Female,South,Grocery,3,Regular Customers,1.606930728805884,0.3142848403332779
C1215,31,55913,36.92,6.7,2.6,Female,East,Fashion,2,Occasional Buyers,-0.9989304677309269,0.29577253541858584
C1216,40,63429,49.49,2.3,3.0,Male,East,Home,2,Occasional Buyers,-0.7686527284496749,-0.9102142612455588
C1217,39,65813,83.28,9.5,4.9,Male,South,Home,3,Regular Customers,0.9429899689915534,-0.22215264075854274
C1218,31,28904,9.74,1.6,1.1,Male,South,Home,1,Budget Shoppers,-2.7869682535183413,-0.055396792148683795
C1219,40,97988,63.94,8.6,5.7,Female,West,Home,3,Regular Customers,1.2750454773599997,-0.208356948979901
C1220,30,46903,42.07,5.3,2.6,Male,West,Grocery,2,Occasional Buyers,-1.2765656419792577,-0.08512098217072746
C1221,24,31886,22.77,2.3,1.4,Male,North,Electronics,1,Budget Shoppers,-2.6329677104624976,-0.22220793434078392
C1222,36,75586,64.7,6.7,1.7,Female,North,Grocery,2,Occasional Buyers,-0.12971652502195083,-0.15950814371060645
C1223,25,28805,36.6,2.3,0.6,Female,East,Home,1,Budget Shoppers,-2.5491141568199844,-0.3860598454742455
C1224,54,94518,58.47,11.4,9.4,Female,South,Grocery,0,Premium Loyalists,2.531792033256243,0.16315729772892232
C1225,50,74604,78.79,8.4,5.6,Male,North,Home,3,Regular Customers,1.4085756728690908,-0.4230280087986989
C1226,37,53152,64.13,8.4,2.9,Female,East,Sports,2,Occasional Buyers,-0.133312705102014,0.1441961358957943
C1227,36,77891,26.69,11.5,4.3,Male,South,Electronics,3,Regular Customers,0.24027574351861666,1.3043091889233838
C1228,34,44763,42.56,5.7,3.6,Male,West,Sports,2,Occasional Buyers,-0.9594270957142158,-0.094831208802857
C1229,52,85318,65.16,8.5,6.0,Male,East,Fashion,3,Regular Customers,1.524737348156038,-0.20354076016511385
C1230,52,77221,65.42,9.5,5.9,Male,West,Grocery,3,Regular Customers,1.4777147244121978,0.036543236933655104
C1231,58,92033,69.84,15.6,7.0,Male,North,Fashion,0,Premium Loyalists,2.9203213782152737,1.1328526348702397
C1232,46,83396,111.09,10.1,12.0,Female,North,Grocery,0,Premium Loyalists,3.1929445174399445,-1.4044529040259606
